BAIRRO,CASOS,LAT,LON
Velha,3075, -26.923617, -49.101608
Asilo,20, -26.901176, -49.107389
Fortaleza,2362, -26.873018, -49.070553
Itoupava Central,4228, 
Água Verde,2795,
Itoupavazinha,2749,
Velha Central,2740,
Progresso,2489,
Itoupava Norte,2329,
Garcia,2266,
Escola Agrícola,2090,
Vila Nova,1804,
Ponta Aguda,1371,
Tribess,1348,
Passo Manso,1222,
Salto do Norte,1199,
Victor Konder,1142,
Badenfurt,1108,
Itoupava Seca,1102,
Centro,981,
Testo Salto,928,
Glória,901,
Jardim Blumenau,847,
Valparaíso,854,
Fortaleza Alta,779,
Salto Weissbach,756,
Vorstadt,747,
Fidélis,723,
Salto,661,
Velha Grande,625,
Vila Itoupava,552,
Nova esperança,524,
Boa Vista,218, -26.899149, -49.065782
Bom Retiro,157,
Vila Formosa,106,
